Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
213,Mansion,PIBT_TCP,3,EagleDestroyed,166.87,-1,500,0.0,24,24,5198,177,393150,1712
214,Mansion,PIBT_TCP,4,EagleDestroyed,161.45,-1,500,0.0,24,24,5824,115,341410,1802
215,Mansion,PIBT_TCP,5,EagleDestroyed,160.48,-1,500,0.0,24,24,6261,107,390814,1892
216,Mansion,PIBT_TCP,6,EagleDestroyed,157.31,-1,500,0.0,24,24,5789,108,312648,1762
217,Chantry,AStar,1,EagleDestroyed,178.42,-1,500,0.0,24,24,10888,221,243769,1878
218,Chantry,AStar,2,EagleDestroyed,179.50,-1,500,0.0,24,24,10830,71,325630,1818
219,Chantry,AStar,3,EagleDestroyed,178.35,-1,500,0.0,24,24,10841,209,228594,2132
220,Chantry,AStar,4,EagleDestroyed,179.50,-1,500,0.0,24,24,10799,237,269023,2289
221,Chantry,AStar,5,EagleDestroyed,179.09,-1,500,0.0,24,24,11002,249,241589,2239
222,Chantry,AStar,6,EagleDestroyed,179.50,-1,500,0.0,24,24,10868,250,230051,2106
223,Chantry,PIBT,1,EagleDestroyed,178.78,-1,500,0.0,24,24,62088,5918,214052,1717
224,Chantry,PIBT,2,EagleDestroyed,178.32,-1,500,0.0,24,24,39785,4083,158156,1840
225,Chantry,PIBT,3,EagleDestroyed,179.50,-1,500,0.0,24,24,53511,2571,167659,1755
226,Chantry,PIBT,4,EagleDestroyed,179.50,-1,500,0.0,24,24,45714,2326,228858,1726
227,Chantry,PIBT,5,EagleDestroyed,179.50,-1,500,0.0,24,24,47971,6407,151366,1805
228,Chantry,PIBT,6,EagleDestroyed,179.19,-1,500,0.0,24,24,48611,5178,173165,1854
229,Chantry,PIBT_TCP,1,Timeout,180.00,20,500,96.0,24,24,7198,435,332688,2806
230,Chantry,PIBT_TCP,2,Timeout,180.00,20,500,96.0,24,24,7590,668,257666,2232
231,Chantry,PIBT_TCP,3,Timeout,180.00,20,500,96.0,24,24,6792,701,298534,3276
232,Chantry,PIBT_TCP,4,Timeout,180.00,20,500,96.0,24,24,6553,502,265739,2780
233,Chantry,PIBT_TCP,5,Timeout,180.00,20,500,96.0,24,24,7264,552,220122,3203
234,Chantry,PIBT_TCP,6,Timeout,180.00,20,500,96.0,24,24,6552,416,304551,2961
235,Gallows,AStar,1,EagleDestroyed,175.68,-1,500,0.0,24,24,11378,169,290472,1679
236,Gallows,AStar,2,EagleDestroyed,176.32,-1,500,0.0,24,24,11532,129,189633,1468
